原子序数,元素符号,中文名称,英文名称,周期,族,分类,相对原子质量,熔点(°C),沸点(°C),密度(g/cm³),电负性,发现年份
1,H,氢,Hydrogen,1,1,非金属,1.008,-259.1,-252.9,0.00009,2.20,1766
2,He,氦,Helium,1,18,稀有气体,4.0026,-272.2,-268.9,0.00018,—,1868
3,Li,锂,Lithium,2,1,碱金属,6.94,180.5,1342,0.534,0.98,1817
4,Be,铍,Beryllium,2,2,碱土金属,9.0122,1287,2471,1.85,1.57,1798
5,B,硼,Boron,2,13,类金属,10.81,2076,3927,2.34,2.04,1808
6,C,碳,Carbon,2,14,非金属,12.011,3550,4027,2.267,2.55,古代
7,N,氮,Nitrogen,2,15,非金属,14.007,-210.0,-195.8,0.00125,3.04,1772
8,O,氧,Oxygen,2,16,非金属,15.999,-218.8,-183.0,0.00143,3.44,1774
9,F,氟,Fluorine,2,17,卤素,18.998,-219.6,-188.1,0.00170,3.98,1886
10,Ne,氖,Neon,2,18,稀有气体,20.180,-248.6,-246.0,0.00090,—,1898
11,Na,钠,Sodium,3,1,碱金属,22.990,97.8,883,0.971,0.93,1807
12,Mg,镁,Magnesium,3,2,碱土金属,24.305,650,1090,1.738,1.31,1755
13,Al,铝,Aluminium,3,13,后过渡金属,26.982,660.3,2470,2.70,1.61,1825
14,Si,硅,Silicon,3,14,类金属,28.085,1414,3265,2.33,1.90,1824
15,P,磷,Phosphorus,3,15,非金属,30.974,44.1,280.5,1.82,2.19,1669
16,S,硫,Sulfur,3,16,非金属,32.06,115.2,444.6,2.07,2.58,古代
17,Cl,氯,Chlorine,3,17,卤素,35.45,-101.5,-34.0,0.00321,3.16,1774
18,Ar,氩,Argon,3,18,稀有气体,39.95,-189.3,-185.8,0.00178,—,1894
19,K,钾,Potassium,4,1,碱金属,39.098,63.4,759,0.862,0.82,1807
20,Ca,钙,Calcium,4,2,碱土金属,40.078,842,1484,1.54,1.00,1808
21,Sc,钪,Scandium,4,3,过渡金属,44.956,1541,2836,2.99,1.36,1879
22,Ti,钛,Titanium,4,4,过渡金属,47.867,1668,3287,4.54,1.54,1791
23,V,钒,Vanadium,4,5,过渡金属,50.942,1910,3407,6.11,1.63,1801
24,Cr,铬,Chromium,4,6,过渡金属,51.996,1907,2671,7.15,1.66,1797
